Rank,Company,SS,AS,CCS,OES,RTS,TOS
925,bf_utilities_ltd_2022_2023,0.225,0.0,0.0,1.0,0.0,0.3063
926,ppap_automotive_limited_2023_2024,0.1803,1.0,0.4444,0.0,0.0,0.3062
927,vguard_industries_ltd_2023_2024,0.1138,0.7667,0.4444,0.0,0.5,0.3046
928,clean_science_and_technology_ltd_2023_2024,0.1949,1.0,0.2222,0.0,0.5,0.3043
929,asian_paints_ltd_2023_2024,0.1846,1.0,0.2222,0.0,0.5,0.3017
930,dwarikesh_sugar_industries_ltd_2023_2024,0.1006,0.7667,0.4444,0.0,0.5,0.3013
931,kirloskar_brothers_ltd_2023_2024,0.2647,1.0,0.3333,0.0,0.0,0.2995
932,new_delhi_television_ltd_2023_2024,0.1285,0.6667,0.6667,0.0,0.0,0.2988
933,divis_laboratories_ltd_2023_2024,0.2606,1.0,0.3333,0.0,0.0,0.2985
934,shankara_building_products_ltd_2023_2024,0.1707,1.0,0.2222,0.0,0.5,0.2982
935,agro_tech_foods_ltd_2023_2024,0.2569,1.0,0.3333,0.0,0.0,0.2976
936,medi_assist_healthcare_services_ltd_2023_2024,0.1629,1.0,0.2222,0.0,0.5,0.2963
937,nucleus_software_exports_ltd_2023_2024,0.1629,1.0,0.2222,0.0,0.5,0.2963
938,filatex_india_ltd_2023_2024,0.1395,0.6667,0.4444,0.0,0.5,0.296
939,hindustan_copper_ltd_2023_2024,0.1395,0.6667,0.4444,0.0,0.5,0.296
940,metro_brands_ltd_2023_2024,0.0698,0.0,0.1111,0.8,0.5,0.2952
941,schneider_electric_infrastructure_ltd_2023_2024,0.2463,1.0,0.3333,0.0,0.0,0.2949
942,subros_ltd_2023_2024,0.1553,0.6667,0.2222,0.0,1.0,0.2944
943,greenlam_industries_ltd_2023_2024,0.2404,1.0,0.3333,0.0,0.0,0.2934
944,s_h_kelkar_and_company_ltd_2023_2024,0.1285,0.6667,0.4444,0.0,0.5,0.2932
945,axita_cotton_ltd_2022_2023,0.1285,0.6667,0.4444,0.0,0.5,0.2932
946,laurus_labs_ltd_2023_2024,0.233,1.0,0.3333,0.0,0.0,0.2916
947,vaibhav_global_ltd_2023_2024,0.2308,1.0,0.3333,0.0,0.0,0.291
948,g_n_a_axles_ltd_2022_2023,0.0521,0.0,0.1111,0.8,0.5,0.2908
949,india_cements_ltd_2023_2024,0.1395,0.6667,0.2222,0.0,1.0,0.2904
950,nelcast_ltd_2023_2024,0.25,0.6667,0.1111,0.0,1.0,0.2903
